Dim_cm2,Date,Style_encoded,Artist_encoded,Medium_encoded,Cluster
4937.4,1966,4,2768,3316,2
4861.74,1966,4,2768,3316,2
4246.88,1967,4,2768,4467,0
4393.74,1964,4,2768,3316,2
4810.8,1967,4,2768,4467,0
4403.48,1965,4,2768,4467,0
4683.85,1967,4,2768,3316,2
3847.95,1966,4,2768,4439,0
4813.14,1967,4,2768,4439,0
4282.44,1967,4,2768,3316,2
4868.78,1967,4,2768,4467,0
4481.86,1966,4,2768,3316,2
980.98,1922,8,3099,3636,2
3936.48,1946,2,414,1935,1
6352.31,1945,2,332,4889,0
1573.99,1932,8,3477,3640,2
193.04,1916,1,3352,3620,2
3119.8,1913,1,592,745,1
6986.0,1898,3,2336,3048,2
1784.85,1947,2,1641,1861,1
4872.52,1968,4,2737,2249,2
15931.02,1984,5,3003,2057,2
3051.0,1920,8,479,1926,1
261.62,1885,3,2629,5132,0
3734.34,1917,1,479,5181,0
2384.64,1927,8,882,468,1
2946.3,1943,2,334,1861,1
3055.88,1954,2,2829,3748,0
429.0,1913,1,996,5201,0
1948.56,1905,1,1217,3748,0
10436.4,1973,4,382,2057,1
763.98,1956,2,1897,2251,1
936.39,1946,2,3003,2057,2
1782.65,1917,1,479,2030,1
602.16,1924,8,2199,875,2
4853.76,1947,2,2478,4885,0
901.7,1918,1,482,5151,0
4293.12,1954,2,2665,5151,0
1312.73,1957,2,1266,2251,1
470.4,1925,8,1245,983,1
1638.27,1915,1,1217,3628,0
4505.54,1914,1,2027,3688,0
2641.77,1946,2,3003,2057,2
3683.82,1926,8,1088,3748,0
1976.25,1920,8,479,5132,0
751.52,1942,2,329,4897,0
3393.2,1920,8,1088,2253,1
1094.82,1945,2,528,2251,1
1054.62,1951,2,2813,3833,0
394.44,1960,4,2505,354,2
1405.26,1878,6,2564,425,2
3314.25,1965,4,2613,5287,0
2291.41,1967,4,1173,5132,0
1344.15,1961,4,1679,2290,1
3290.97,1913,1,2171,2036,2
1545.28,1946,2,3003,2057,2
412.09,1942,2,329,734,1
1035.32,1946,2,3076,1975,2
748.83,1904,3,480,2123,1
384.72,1960,4,2505,2263,2
262.89,1910,1,3352,3748,2
865.0,1950,2,1245,973,1
1344.15,1961,4,1679,2291,1
1306.78,1921,8,2171,2817,2
1825.32,1946,2,3003,2057,2
640.66,1885,3,2629,5135,0
956.75,1940,2,2011,866,2
1662.5,1941,2,1471,2016,1
815.1,1910,1,480,2251,1
432.4,1926,8,1443,3565,0
7084.8,1934,8,3057,2251,2
392.16,1959,2,2505,2264,2
1741.51,1959,2,2491,2251,2
1756.44,1952,2,2166,5118,0
3009.6,1947,2,297,416,1
3300.0,1980,5,871,3177,1
2946.3,1933,8,1054,3748,0
1392.6,1933,8,2155,2992,2
4872.54,1943,2,741,2188,1
1741.17,1941,2,1642,1988,1
420.75,1940,2,2603,3748,0
4238.77,1948,2,1641,473,1
1784.85,1922,8,2591,5109,0
661.81,1913,1,1088,5091,0
3594.84,1958,2,811,5109,0
882.88,1936,8,2788,5109,0
1893.48,1922,8,882,468,1
2562.36,1954,2,827,2188,1
3036.0,1980,5,3415,579,2
1603.8,1937,8,2642,4048,0
4235.73,1925,8,2677,3048,2
2884.56,1952,2,2166,2217,2
1746.5,1953,2,1167,1926,1
813.24,1935,8,2203,2251,2
1242.36,1939,8,2788,5230,0
762.57,1945,2,2347,2188,2
3304.6,1930,8,1493,703,1
2544.64,1895,3,2629,5134,0
2946.3,1928,8,1054,3748,0
1867.92,1939,8,1354,1926,1
1781.25,1919,1,1088,2251,1
1759.32,1942,2,1324,722,1
1708.14,1922,8,2642,2259,2
3036.1,1959,2,1275,2251,1
158.0,1915,1,2111,3720,0
815.0,1935,8,2203,2251,2
878.5,1936,8,2788,5109,0
1160.3,1925,8,1493,3562,0
1043.9,1993,5,3329,5107,0
1634.5,1930,8,835,5151,0
2848.2,1950,2,3550,394,2
2672.6,1951,2,740,5224,0
6793.2,1963,4,3007,468,2
2555.58,1967,4,2961,575,2
1635.0,1936,8,2203,1117,2
1572.42,1973,4,1806,967,2
454.66,1918,1,3371,5230,0
2668.0,1958,2,1383,1908,1
2414.88,1991,5,2802,2231,2
2960.79,1933,8,1054,2188,1
638.28,1920,8,82,2133,1
3248.49,1949,2,2050,3748,0
535.92,1901,3,1308,2251,1
1008.0,1944,2,922,3748,0
2068.16,1907,1,1217,3748,0
466.83,1932,8,3206,2251,2
782.32,1937,8,1250,5291,0
3062.2,1957,2,1383,1908,1
602.0,1982,5,2802,2143,2
2985.6,1909,1,2603,1926,2
4316.6,1947,2,1308,2251,1
1141.72,1927,8,1069,745,1
3810.24,1955,2,1561,938,1
2173.96,1925,8,3546,5185,0
4339.6,1942,2,1462,1861,1
3854.8,1962,4,2046,892,2
6611.54,1967,4,880,3748,0
687.0,1937,8,1250,5291,0
1504.19,1956,2,1383,1908,1
2984.1,1991,5,2802,2133,2
2946.3,1933,8,1054,3748,0
1658.7,1935,8,332,2251,1
1436.64,1923,8,2642,3170,2
1334.96,1954,2,3222,5151,0
1623.48,1956,2,153,1861,1
781.92,1957,2,1020,2251,1
2960.88,1962,4,2046,892,2
3985.62,1967,4,3191,3838,2
8010.6,1976,4,1618,488,1
18946.67,1958,2,259,3620,1
1719.9,1955,2,1383,1913,1
754.46,1946,2,2157,5099,0
1023.75,1946,2,2824,2251,2
2834.1,1907,1,2603,1901,2
2158.08,1934,8,3536,5218,0
2085.02,1910,1,1217,634,1
12411.52,1961,4,1521,1710,1
499.29,1915,1,1088,2251,1
2764.85,1967,4,126,5151,0
549.4,1910,1,2987,2251,2
1303.26,1969,4,2688,5208,0
7500.0,1984,5,3149,4784,0
2628.0,1969,4,2912,5398,0
1213.65,1900,3,2629,5132,0
2960.79,1933,8,1054,3748,0
4030.39,1924,8,3546,2251,2
5247.9,1940,2,2478,1899,2
887.3,1947,2,2824,2251,2
4558.8,1950,2,1467,1926,1
1083.32,1960,4,659,5151,0
2688.42,1965,4,2857,2198,2
1595.62,1947,2,1561,2114,1
1151.4,1975,4,3168,3704,2
5227.32,1987,5,3006,4040,0
2281.98,1922,8,1715,5151,0
1632.0,1939,8,19,1926,1
3138.19,1938,8,2478,3682,2
2060.64,1926,8,1088,2188,1
3188.16,1952,2,2870,736,2
1095.2,1960,4,659,5151,0
6402.0,1966,4,150,422,1
